城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
上海,EPSON teamLab 无界美术馆 teamLab Borderless Shanghai,,0,219,102,上海·上海·黄浦区,"121.504102,31.207456",由艺术团队teamLab打造的大型美术馆“EPSON teamLab无界美术馆：teamLab Borderless S,FALSE,上海市黄浦区花园港路100号C-2单元teamLab无界美术馆
上海,中国航海博物馆,4A,0,27,98,上海·上海·浦东新区,"121.926115,30.903535",航海世界，你我同行,FALSE,上海市浦东新区申港大道197号
上海,月湖雕塑公园,,0,91,94,上海·上海·佘山国家旅游度假区,"121.211285,31.103375",邀您进入充满知性、感性的艺术桃花源,FALSE,上海市松江区林荫新路1158号
上海,上海人民广场,,3.6,88,94,上海·上海·黄浦区,"121.48208011703,31.236832849459",融文化、绿化、美化为一体跨世纪活动中心,FALSE,中国上海黄浦区上海人民广场
上海,东滩湿地公园,,3.5,45,92,上海·上海·崇明岛,"121.955196,31.521639",观日出看候鸟 | 植被丰盛的风光摄影地,FALSE,上海市崇明县东滩东旺路
上海,金色童话盛典,,0,319,90,上海·上海·浦东新区,"121.671964,31.148267",欣赏您喜爱的迪士尼公主们倾情上演的的音乐舞台盛宴，领略奇妙魔力和动人乐曲。白雪公主、安娜和艾莎、茉莉、爱丽儿和梅莉达诚邀,FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园
上海,上海植物园,,3.6,25,78,上海·上海·徐汇区,"121.450202,31.152495",驻沪海外人士极为喜爱的郊游目的地,FALSE,上海市徐汇区龙吴路1111号
上海,上海博物馆,4A,3.8,1,78,上海·上海·黄浦区,"121.482,31.2343",大型中国古代艺术博物馆，国内外享有盛誉,FALSE,上海市黄浦区人民大道201号
上海,上海城隍庙,,3.8,0.5,72,上海·上海·黄浦区,"121.49912146681,31.231409005048",“中华一绝”的民俗艺术,FALSE,上海市黄浦区方浜中路249号
上海,都市观光旅游巴士,,0,37,68,上海·上海·黄浦区,"121.497355,31.246226",随上随下，饱览上海城市风光,FALSE,上海市中山东一路391号“都市观光”外滩旅游服务中心
上海,黄浦江游览（金陵东路码头）,,0,55,66,上海·上海·黄浦区,"121.499782,31.237973",浦江游览精华游近赏上海的地理地标—黄浦江两岸的美景，快线游则浓缩了浦江两岸的精华，路线为金陵东路码头—十六铺码头—老码头,FALSE,上海市黄浦区中山东二路141号金陵东路渡口
上海,BUS TOUR 上海观光游,,0,85,64,上海·上海·黄浦区,"121.474293,31.234512",,FALSE,上海市黄埔区九江路588号（近湖北路）
